"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","F1"
0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,438.572242755347
0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,541.739301927193
0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,515.691210794412
0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,392.716009185331
0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,412.952968241191
1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,573.405696839208
1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,493.458868008347
1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,595.712656227662
0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,564.416956252795
0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,493.154725569719
0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,466.171126901475
1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,590.003013558533
1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,541.412708010466
1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,484.346662758096
0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,536.120586323437
0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,542.652992541579
0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,408.7370675348
0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,378.008790624116
0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,462.480826973632
0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,498.874369735201
0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,494.97204768389
1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,538.706141308778
0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,422.458242894083
1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,422.582236245664
0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,520.001666764457
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,315.696940425114
0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,462.821027459146
1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,516.367233619399
1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,542.271491757473
1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,571.838215734231
0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,460.384630767898
0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,409.398202280005
1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,642.028599294956
0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,463.995688771655
1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,548.202173887874
0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,563.326790217612
1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,563.068296830293
0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,546.661463942156
1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,659.055661862558
0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,497.260470311118
1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,642.028599294956
0,0,1,0,1,0,1,1,0,1,1,0,0,1,1,512.762374403654
0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,408.48076879725
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,367.843736391702
0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,437.705753188
0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,516.200747219813
0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,512.397624681344
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,673.25235034482
0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,408.771061552334
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,414.279364585749
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,334.370830823644
0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,411.76746357425
1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,511.596616833781
1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,612.402070364289
0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,513.641765869433
1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,442.404556779231
0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,545.005104178715
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,364.428230042562
0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,418.587145475485
0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,455.661969675955
0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,513.499726425797
1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,542.895126571945
0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,426.002060220472
0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,454.411425874055
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,358.392014992054
1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,489.608294894154
1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,544.166871760686
1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,600.639958050253
0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,624.472657992642
0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,457.890563887213
1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,540.31278986724
0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,407.765161023577
1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,551.894327233776
0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,521.553645340439
1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,569.620575793463
0,1,1,0,1,1,0,1,0,1,0,1,0,0,0,485.867991938842
1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,634.647999666583
0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,495.764940867399
0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,426.002060220472
1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,572.284313987848
1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,601.390599406846
1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,544.315364130134
0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,486.901016461428
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,694.944656055566
1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,464.92363484827
1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,466.969414709865
0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,411.76746357425
1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,619.059153359671
0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,461.915468261057
1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,433.560306795762
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,334.370830823644
1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,543.617248336037
0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,516.671024062552
1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,660.927802468512
0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,408.771061552334
1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,571.595241820863
1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,543.222274650509
0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,400.285512044092
0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,381.170084390282
1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,537.43650945738
1,0,0,0,1,1,0,1,1,1,0,0,1,1,0,512.981428128169
1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,603.84433920451
1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,563.85561644469
0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,540.228496399448
1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,572.284313987848
1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,486.820110467877
1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,579.97672429398
0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,545.205579838234
0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,456.796786971725
1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,487.779163497801
0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,534.217587467656
0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,466.784246744186
1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,632.854234688337
0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,566.402945101522
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,728.198029979946
0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,537.923208796436
0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,380.51668420981
0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,464.216370868939
1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,598.332800159873
0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,492.749786404509
0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,544.260025179322
0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,450.735821741633
1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,646.282166230976
1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,518.314011452332
0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,545.974966495218
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,354.692459524061
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,381.237931520348
1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,570.51995641781
1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,611.22577333464
1,0,1,1,0,1,1,0,1,1,0,0,0,1,1,551.2846222897
0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,416.326172554259
0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,417.582595428949
1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,659.055661862558
0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,516.200747219813
0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,398.890519350743
