CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,theta_080,theta_099
3,LC,90002,A,"7,0",0,,"3,47246","0,67703","0,14079",Amarela,496,"0,0","0,0",2018,"574,0540027618408","587,9085063934326","642,9450511932373"
4,LC,17817,A,"6,0",0,,"3,86369","0,85701","0,16228",Amarela,496,"0,0","0,0",2018,"590,7528400421143","603,3556461334229","652,9347896575928"
4,LC,55925,D,"6,0",0,,"1,80017","0,8021","0,20292",Amarela,456,"1,0","0,0",2018,"588,2089138031006","615,9489154815674","722,8677272796631"
4,LC,95804,D,"8,0",0,,"4,32651","0,80674","0,21308",Amarela,456,"0,0","0,0",2018,"583,690881729126","595,3114032745361","639,855146408081"
4,LC,96786,E,"5,0",0,,"1,80719","1,02631","0,12053",Amarela,496,"1,0","0,0",2018,"616,1038875579834","642,439603805542","747,9755878448486"
5,LC,85387,C,"6,0",0,,"3,00737","0,91167","0,45573",Amarela,456,"0,0","0,0",2018,"579,6520709991455","601,7892360687256","668,982744216919"
5,LC,88480,B,"5,0",0,,"1,16779","1,53947","0,11223",Amarela,456,"1,0","0,0",2018,"675,5821704864502","716,1633968353271","879,3489933013916"
5,LC,97229,C,"6,0",0,,"3,37571","0,67092","0,15391",Amarela,496,"1,0","0,0",2018,"573,169469833374","587,5246524810791","644,2205905914307"
5,LC,98220,D,"7,0",0,,"3,76232","0,83025","0,20321",Amarela,496,"0,0","0,0",2018,"586,8427753448486","600,1179218292236","651,2777805328369"
6,LC,79142,E,"21,0",0,,"1,77337","1,05026","0,13052",Amarela,496,,"0,0",2018,"618,1256771087646","645,1027393341064","752,758264541626"
6,LC,112092,B,"27,0",0,,"2,40823","1,41052","0,06055",Amarela,456,,"0,0",2018,"653,7835597991943","672,9905605316162","751,7521381378174"
7,LC,27299,B,"30,0",0,,"2,01498","-0,46648","0,20636",Amarela,496,,"0,0",2018,"460,27350425720215","485,11195182800293","580,6748867034912"
7,LC,111948,B,"20,0",0,,"1,43134","0,04637","0,08559",Amarela,456,,"0,0",2018,"524,2745876312256","556,9593906402588","689,7656917572021"
8,LC,24007,E,"15,0",0,,"0,94955","0,78242","0,01255",Amarela,456,,"0,0",2018,"615,3838634490967","663,1414890289307","862,1137142181396"
8,LC,86761,C,"22,0",0,,"2,76657","0,40717","0,12864",Amarela,496,,"0,0",2018,"549,1893291473389","566,4651393890381","635,4610919952393"
9,LC,86504,E,"28,0",0,,"3,44612","0,45128","0,18399",Amarela,496,,"0,0",2018,"550,0142574310303","564,3312931060791","620,0544834136963"
9,LC,111970,A,"19,0",0,,"3,00407","0,86553","0,12715",Amarela,456,,"0,0",2018,"594,4125652313232","610,3079319000244","673,8393306732178"
10,LC,23230,D,"14,0",0,,"1,87571","0,49827","0,20467",Amarela,456,,"0,0",2018,"557,3813915252686","584,0342044830322","686,6710186004639"
10,LC,67551,A,"19,0",0,,"2,12582","1,0358","0,22662",Amarela,496,,"0,0",2018,"608,8464260101318","632,7240467071533","723,5376834869385"
11,LC,25943,E,"11,0",0,,"1,27597","1,82145","0,16274",Amarela,456,,"0,0",2018,"697,3974704742432","735,5706691741943","885,7052326202393"
11,LC,76042,E,"1,0",0,,"1,73716","1,38024","0,28895",Amarela,496,,"0,0",2018,"639,075517654419","669,7909832000732","781,9359302520752"
12,LC,37758,D,"24,0",0,,"1,67632","1,16693","0,12966",Amarela,496,,"0,0",2018,"630,6092739105225","659,1336727142334","773,0143070220947"
12,LC,68242,C,"23,0",0,,"1,65664","0,36753","0,01477",Amarela,456,,"0,0",2018,"557,9178333282471","585,3145122528076","699,3811130523682"
13,LC,16760,D,"1,0",0,,"2,13606","-0,14111","0,19431",Amarela,496,,"0,0",2018,"493,15619468688965","516,402006149292","606,4145565032959"
13,LC,112143,A,"21,0",0,,"1,81453","0,5888","0,31442",Amarela,456,,"0,0",2018,"557,5149059295654","587,6367092132568","695,4567432403564"
14,LC,23744,C,"12,0",0,,"2,84638","1,69334","0,09954",Amarela,456,,"0,0",2018,"678,6911487579346","695,237398147583","762,1066570281982"
14,LC,56161,A,"14,0",0,,"2,09005","1,15315","0,16228",Amarela,496,,"0,0",2018,"624,6535778045654","647,9518413543701","739,6047115325928"
15,LC,6818,E,"16,0",0,,"2,21619","1,06685","0,08843",Amarela,456,,"0,0",2018,"619,2343235015869","640,3725147247314","726,1674404144287"
15,LC,83856,E,"30,0",0,,"3,5396","0,8136","0,11717",Amarela,496,,"0,0",2018,"588,3448123931885","601,7653942108154","655,6313037872314"
16,LC,77697,C,"1,0",0,,"3,08161","0,96797","0,17797",Amarela,496,,"0,0",2018,"602,5068759918213","618,4570789337158","680,7296276092529"
16,LC,112066,D,"9,0",0,,"3,9313","0,57499","0,12299",Amarela,456,,"0,0",2018,"563,6231899261475","575,7443904876709","624,2697238922119"
17,LC,23615,B,"14,0",0,,"0,93968","0,71348","0,01825",Amarela,456,,"0,0",2018,"608,3171367645264","656,6851139068604","857,8364849090576"
17,LC,85647,D,"28,0",0,,"2,14199","0,01044","0,15978",Amarela,496,,"0,0",2018,"510,296106338501","532,9959392547607","622,4029064178467"
18,LC,76800,E,"1,0",0,,"2,41183","1,42846","0,15898",Amarela,456,,"0,0",2018,"651,1037349700928","671,2524890899658","750,6506443023682"
18,LC,86449,E,"23,0",0,,"1,89587","0,4106","0,16468",Amarela,496,,"0,0",2018,"551,201581954956","576,9221782684326","677,987813949585"
19,LC,8562,A,"9,0",0,,"1,19713","1,58367","0,12869",Amarela,456,,"0,0",2018,"677,9448986053467","717,8680896759033","877,3152828216553"
19,LC,22654,B,"20,0",0,,"1,79575","-0,76212","0,20153",Amarela,496,,"0,0",2018,"431,90884590148926","459,69176292419434","566,8537616729736"
20,LC,61878,E,"26,0",0,,"1,94597","0,8094","0,13457",Amarela,496,,"0,0",2018,"592,6411151885986","617,2769069671631","715,4266834259033"
20,LC,111884,D,"29,0",0,,"1,22307","1,2123","0,01696",Amarela,456,,"0,0",2018,"649,7304439544678","686,8736743927002","841,4022922515869"
21,LC,95682,C,"4,0",0,,"1,88047","0,88977","0,17022",Amarela,496,,"0,0",2018,"598,8423824310303","624,8586177825928","726,815938949585"
21,LC,112053,A,"30,0",0,,"1,68734","0,99457","0,20253",Amarela,456,,"0,0",2018,"608,0214977264404","637,6092433929443","751,6710758209229"
22,LC,9065,B,"10,0",0,,"3,04421","0,45016","0,10913",Amarela,456,,"0,0",2018,"553,4260272979736","568,9685344696045","631,5510272979736"
22,LC,84446,C,"12,0",0,,"1,67738","0,82559","0,1677",Amarela,496,,"0,0",2018,"593,8022136688232","622,9250431060791","737,194299697876"
23,LC,22904,E,"15,0",0,,"2,7669","1,5011","0,18886",Amarela,496,,"0,0",2018,"655,9722423553467","673,8584041595459","743,300199508667"
23,LC,111896,E,"3,0",0,,"1,84593","2,0971","0,06234",Amarela,456,,"0,0",2018,"726,2246608734131","751,3015270233154","854,0694713592529"
24,LC,24528,D,"16,0",0,,"0,49981","3,32746","0,04951",Amarela,456,,"0,0",2018,"896,2767124176025","988,3825778961182","1367,5158023834229"
24,LC,50016,E,"18,0",0,,"3,39686","0,6387","0,18543",Amarela,496,,"0,0",2018,"568,7730312347412","583,3094120025635","639,85276222229"
25,LC,81987,C,"12,0",0,,"1,63347","1,06946","0,20097",Amarela,496,,"0,0",2018,"615,9179210662842","646,4498043060303","764,2524242401123"
25,LC,112150,B,"14,0",0,,"1,95328","1,6945","0,18002",Amarela,456,,"0,0",2018,"678,3263683319092","703,5224437713623","801,7890453338623"
26,LC,86600,B,"1,0",0,,"2,09341","0,89244","0,21354",Amarela,496,,"0,0",2018,"595,447301864624","619,4727420806885","711,5380764007568"
26,LC,112101,A,"17,0",0,,"1,21324","2,30266","0,14615",Amarela,456,,"0,0",2018,"747,9302883148193","787,69850730896","945,3146457672119"
27,LC,82889,B,"22,0",0,,"3,9794","0,59122","0,20812",Amarela,456,,"0,0",2018,"562,5669956207275","575,1602649688721","623,5592365264893"
27,LC,96873,E,"12,0",0,,"3,00622","0,65025","0,15832",Amarela,496,,"0,0",2018,"571,6769695281982","587,8369808197021","651,5281200408936"
28,LC,97416,A,"28,0",0,,"1,29567","1,39476","0,11929",Amarela,456,,"0,0",2018,"658,3755016326904","695,082426071167","842,2653675079346"
28,LC,97679,A,"17,0",0,,"2,30343","1,41293","0,21113",Amarela,496,,"0,0",2018,"647,0720767974854","668,8706874847412","752,5150775909424"
29,LC,86194,A,"18,0",0,,"3,52005","0,89628","0,19967",Amarela,496,,"0,0",2018,"593,8403606414795","607,9952716827393","662,6527309417725"
29,LC,112041,E,"21,0",0,,"0,8512","1,63346","0,00591",Amarela,456,,"0,0",2018,"705,4941654205322","758,6352825164795","980,4861545562744"
30,LC,83845,E,"18,0",0,,"1,61588","1,19144","0,17627",Amarela,496,,"0,0",2018,"630,1634311676025","660,5498790740967","779,2847156524658"
30,LC,89028,C,"15,0",0,,"2,64074","2,10792","0,25229",Amarela,456,,"0,0",2018,"713,6385440826416","733,231782913208","806,5979480743408"
31,LC,76784,B,"1,0",0,,"3,38863","1,00758","0,18354",Amarela,496,,"0,0",2018,"605,7446002960205","620,2976703643799","676,9649982452393"
31,LC,112113,C,"21,0",0,,"1,69328","1,27469","0,05119",Amarela,456,,"0,0",2018,"646,1255550384521","673,3314990997314","785,25710105896"
32,LC,25923,B,"12,0",0,,"2,41196","1,35733","0,14315",Amarela,496,,"0,0",2018,"644,7641849517822","664,7341251373291","743,9916133880615"
32,LC,64063,B,"18,0",0,,"1,52555","3,06995","0,19863",Amarela,456,,"0,0",2018,"816,8022632598877","849,4441509246826","975,543737411499"
33,LC,87157,A,"16,0",0,,"2,44345","1,09455","0,23433",Amarela,496,,"0,0",2018,"613,595724105835","634,4835758209229","713,5765552520752"
33,LC,112054,E,"2,0",0,,"1,02723","0,48041","0,00765",Amarela,456,,"0,0",2018,"582,8111171722412","626,875638961792","810,7321262359619"
34,LC,96729,C,"15,0",0,,"1,42862","0,83152","0,17175",Amarela,496,,"0,0",2018,"596,0075855255127","630,2826404571533","764,509916305542"
34,LC,97968,A,"17,0",0,,"0,83826","1,29183","0,02232",Amarela,456,,"0,0",2018,"670,1700687408447","724,4794368743896","950,0377178192139"
35,LC,89496,E,"15,0",0,,"1,839","0,8233","0,16448",Amarela,496,,"0,0",2018,"592,7984714508057","619,3106174468994","723,5019207000732"
35,LC,112018,B,"12,0",0,,"1,44002","0,28212","0,01065",Amarela,456,,"0,0",2018,"552,8252124786377","584,2940807342529","715,4767513275146"
36,LC,78076,D,"19,0",0,,"2,83439","1,00477","0,20723",Amarela,456,,"0,0",2018,"605,355978012085","623,0251789093018","690,967321395874"
36,LC,97412,B,"16,0",0,,"2,53154","1,20096","0,23208",Amarela,496,,"0,0",2018,"624,2172718048096","644,3469524383545","720,6623554229736"
37,LC,89487,D,"4,0",0,,"1,55831","0,45003","0,11333",Amarela,456,,"0,0",2018,"561,1388683319092","591,5658473968506","713,8721942901611"
