CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,theta_080,theta_099,PercentEspAcerto,Cluster
24,CN,64059,D,"5,0",0,,"3,73264","1,18769","0,12778",CINZA,PROVA CINZA,,"0,0",2017,"621,384859085083","637,8738880157471","689,0075206756592","56,39",Cluster 0
25,CN,26843,E,"4,0",0,,"1,04515","2,77185","0,14751",CINZA,PROVA CINZA,,"0,0",2017,"784,1246128082275","843,7387943267822","1026,7274379730225","57,38",Cluster 3
25,CN,39732,C,"2,0",0,,"1,47863","1,35517","0,16659",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"638,7083530426025","681,3781261444092","810,9920024871826","58,33",Cluster 0
26,CN,59984,B,"2,0",0,,"2,74706","0,58752","0,17362",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"560,1184368133545","583,1973552703857","653,0206203460693","58,68",Cluster 2
26,CN,78598,C,"1,0",0,,"4,32516","1,62067","0,21273",CINZA,PROVA CINZA,,"0,0",2017,"661,6275310516357","676,7170429229736","721,2727069854736","60,64",Cluster 0
27,CN,29460,D,"7,0",0,,"4,15611","1,606","0,17345",CINZA,PROVA CINZA,,"0,0",2017,"661,510705947876","676,7623424530029","722,9106426239014","58,67",Cluster 0
27,CN,47578,B,"24,0",0,,"2,54137","1,04912","0,19181",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"605,3822040557861","630,6545734405518","706,2880992889404","59,59",Cluster 0
28,CN,29759,A,"7,0",0,,"3,16655","1,64185","0,38411",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"652,7297496795654","677,7851581573486","740,4248714447021","69,21",Cluster 0
28,CN,59980,E,"2,0",0,,"3,62645","1,11215","0,11193",CINZA,PROVA CINZA,,"0,0",2017,"614,4421100616455","631,2577724456787","683,8052272796631","55,6",Cluster 0
29,CN,24326,D,"18,0",0,,"4,29542","1,91327","0,22731",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"690,359354019165","705,7349681854248","750,6816387176514","61,37",Cluster 0
