CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,theta_080,theta_099,PercentEspAcerto,Cluster
131,CN,90304,D,"21,0",0,,"2,17252","1,17266","0,15007",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2018,"620,4502582550049","649,1773128509521","737,2324466705322","57,5",Cluster 0
133,CN,111506,A,"4,0",0,,"1,87928","1,01563","0,07272",Cinza,PROVA CINZA,,"0,0",2018,"610,2101802825928","641,9723033905029","743,0069446563721","53,64",Cluster 0
134,CN,16999,E,"22,0",0,,"2,68842","1,95733","0,33186",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2018,"686,9809627532959","714,3418788909912","787,3432636260986","66,59",Cluster 0
134,CN,111408,C,"6,0",0,,"1,24846","1,46128","0,08248",Cinza,PROVA CINZA,,"0,0",2018,"658,2634449005127","706,3190937042236","858,5374355316162","54,12",Cluster 0
91,CN,27903,D,"27,0",0,,"2,13248","1,45511","0,18122",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2019,"646,7764377593994","676,6669750213623","766,6890621185303","59,06",Cluster 0
91,CN,117875,D,"1,0",0,,"1,78539","1,58564","0,13602",Cinza,PROVA CINZA,,"0,0",2019,"663,4514331817627","698,0984210968018","805,091142654419","56,8",Cluster 0
92,CN,85422,A,"1,0",0,,"2,1628","1,71197","0,24386",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2019,"668,0386066436768","699,0115642547607","788,4829044342041","62,19",Cluster 0
92,CN,117642,A,"2,0",0,,"1,92967","1,07472","0,22014",Cinza,PROVA CINZA,,"0,0",2019,"605,8971881866455","639,9219036102295","739,8812770843506","61,01",Cluster 0
94,CN,26172,D,"29,0",0,,"2,05099","1,55165","0,24664",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2019,"651,6091823577881","684,3535900115967","778,7387371063232","62,33",Cluster 0
94,CN,84568,C,"1,0",0,,"2,42831","1,66707","0,29842",Cinza,PROVA CINZA,,"0,0",2019,"659,8656177520752","688,978910446167","769,3307399749756","64,92",Cluster 0
