CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,theta_080,theta_099,PercentEspAcerto,Cluster
36,LC,97412,B,"16,0",0,,"2,53154","1,20096","0,23208",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"618,1542873382568","644,3469524383545","720,6623554229736","61,6",Cluster 3
37,LC,98173,E,"14,0",0,,"3,38388","0,88861","0,0718",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"593,6949253082275","611,3259792327881","667,4306392669678","53,59",Cluster 3
39,LC,86243,E,"11,0",0,,"1,77127","1,14676","0,17002",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"617,0766353607178","652,7798175811768","761,0218524932861","58,5",Cluster 3
39,LC,96758,A,"17,0",0,,"1,29262","1,31726","0,14007",Amarela,PROVA AMARELA,,"0,0",2018,"638,0789279937744","686,0535144805908","833,8944911956787","57,0",Cluster 3
40,LC,83517,C,"18,0",0,,"1,37901","1,32756","0,07485",Amarela,PROVA AMARELA,,"0,0",2018,"644,3684101104736","687,7009868621826","825,4139423370361","53,74",Cluster 3
41,LC,89331,D,"24,0",0,,"0,97846","0,67628","0,01231",Amarela,PROVA AMARELA,,"0,0",2018,"590,7576084136963","650,0380039215088","843,1284427642822","50,62",Cluster 3
42,LC,31871,C,"11,0",0,,"2,83957","1,02251","0,1042",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"606,6982746124268","628,0772686004639","695,1372623443604","55,21",Cluster 3
42,LC,111829,C,"24,0",0,,"2,81419","0,69753","0,11358",Amarela,PROVA AMARELA,,"0,0",2018,"573,8418102264404","595,5283641815186","663,2559299468994","55,68",Cluster 3
43,LC,89563,C,"16,0",0,,"2,03114","1,13829","0,14529",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"617,5415515899658","648,1735706329346","742,3107624053955","57,26",Cluster 3
43,LC,111931,E,"25,0",0,,"1,63036","0,93887","0,07536",Amarela,PROVA AMARELA,,"0,0",2018,"603,6727428436279","640,3343677520752","756,8233013153076","53,77",Cluster 3
44,LC,97995,C,"26,0",0,,"2,35786","1,11397","0,23434",Amarela,PROVA AMARELA,,"0,0",2018,"609,1587543487549","637,3350620269775","719,2962169647217","61,72",Cluster 3
45,LC,98224,D,"30,0",0,,"2,21681","1,44953","0,19001",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"645,6081867218018","674,5426654815674","761,2316608428955","59,5",Cluster 3
45,LC,112051,B,"28,0",0,,"3,71981","0,70995","0,19426",Amarela,PROVA AMARELA,,"0,0",2018,"571,2192058563232","588,5188579559326","640,2056217193604","59,71",Cluster 3
1,LC,77968,A,"6,0",0,,"2,96408","0,85341","0,17738",Amarela,PROVA AMARELA PPL REAPLICACAO,"0,0","0,0",2019,"586,432695388794","607,8784465789795","672,6138591766357","58,87",Cluster 3
2,LC,32839,B,"8,0",0,,"2,92684","0,84376","0,17977",Amarela,PROVA AMARELA PPL REAPLICACAO,"1,0","0,0",2019,"585,36696434021","607,1226596832275","672,7020740509033","58,99",Cluster 3
2,LC,48558,D,"6,0",0,,"2,74411","0,68157","0,13769",Amarela,PROVA AMARELA,"1,0","0,0",2019,"571,2597370147705","593,8260555267334","663,4490489959717","56,88",Cluster 3
2,LC,55166,B,"7,0",0,,"2,66039","0,6113","0,19627",Amarela,PROVA AMARELA,"0,0","0,0",2019,"561,3343715667725","585,5576992034912","657,846212387085","59,81",Cluster 3
2,LC,98030,B,"8,0",0,,"3,12924","0,93933","0,20486",Amarela,PROVA AMARELA PPL REAPLICACAO,"0,0","0,0",2019,"593,7020778656006","614,4325733184814","675,9541034698486","60,24",Cluster 3
3,LC,18848,B,"6,0",0,,"3,48455","0,76589","0,20727",Amarela,PROVA AMARELA PPL REAPLICACAO,"0,0","0,0",2019,"576,2784481048584","594,9299335479736","650,1953601837158","60,36",Cluster 3
3,LC,96705,A,"8,0",0,,"3,62651","0,79268","0,1043",Amarela,PROVA AMARELA,"1,0","0,0",2019,"582,7467441558838","599,4884967803955","651,9978046417236","55,22",Cluster 3
4,LC,39016,C,"7,0",0,,"3,76151","0,92828","0,14061",Amarela,PROVA AMARELA,"1,0","0,0",2019,"594,99192237854","611,4833354949951","662,2927188873291","57,03",Cluster 3
4,LC,54110,D,"7,0",0,,"2,82077","0,63692","0,16707",Amarela,PROVA AMARELA,"0,0","0,0",2019,"565,3421878814697","587,7153873443604","655,6622982025146","58,35",Cluster 3
5,LC,25684,A,"7,0",0,,"2,98071","1,31605","0,19041",Amarela,PROVA AMARELA PPL REAPLICACAO,"1,0","0,0",2019,"632,073163986206","653,5975933074951","718,0731296539307","59,52",Cluster 3
5,LC,40270,D,"7,0",0,,"3,22121","0,98521","0,20723",Amarela,PROVA AMARELA PPL REAPLICACAO,"0,0","0,0",2019,"598,186731338501","618,3617115020752","678,145170211792","60,36",Cluster 3
7,LC,68155,E,"23,0",0,,"2,04517","1,1735","0,17667",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2019,"618,9815998077393","650,0451564788818","743,8628673553467","58,83",Cluster 3
7,LC,86563,B,"3,0",0,,"0,92314","1,22467","0,09006",Amarela,PROVA AMARELA,,"0,0",2019,"637,9406452178955","703,1934261322021","909,1966152191162","54,5",Cluster 3
8,LC,85383,B,"16,0",0,,"2,952","1,14907","0,11488",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2019,"618,7503337860107","639,4426822662354","704,0135860443115","55,74",Cluster 3
8,LC,118118,A,"9,0",0,,"3,00154","0,66248","0,15753",Amarela,PROVA AMARELA,,"0,0",2019,"568,2246685028076","589,1196727752686","652,9061794281006","57,88",Cluster 3
9,LC,83334,C,"24,0",0,,"2,63584","1,00589","0,138",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2019,"603,8038730621338","627,3000240325928","699,7864246368408","56,9",Cluster 3
10,LC,68223,B,"14,0",0,,"1,61358","0,81326","0,20639",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2019,"580,7392597198486","620,9867000579834","740,3199672698975","60,32",Cluster 3
10,LC,118306,A,"16,0",0,,"2,85223","1,042","0,12609",Amarela,PROVA AMARELA,,"0,0",2019,"607,6972484588623","629,2526721954346","696,157693862915","56,3",Cluster 3
11,LC,87984,E,"15,0",0,,"1,57794","1,16158","0,24936",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2019,"611,2473011016846","653,9123058319092","776,6406536102295","62,47",Cluster 3
12,LC,89550,C,"1,0",0,,"3,10874","0,76811","0,16616",Amarela,PROVA AMARELA,,"0,0",2019,"578,34792137146","598,6373424530029","660,2828502655029","58,31",Cluster 3
13,LC,14169,B,"14,0",0,,"3,00635","1,13504","0,10103",Amarela,PROVA AMARELA,,"0,0",2019,"617,8300380706787","637,9883289337158","701,3075351715088","55,05",Cluster 3
14,LC,118278,B,"16,0",0,,"2,48291","1,15452","0,08973",Amarela,PROVA AMARELA,,"0,0",2019,"621,2203502655029","645,4770565032959","722,0666408538818","54,49",Cluster 3
15,LC,59976,C,"30,0",0,,"3,49523","0,62543","0,17905",Amarela,PROVA AMARELA,,"0,0",2019,"563,401460647583","581,6094875335693","636,5196704864502","58,95",Cluster 3
15,LC,87976,E,"3,0",0,,"1,1717","0,89862","0,25164",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2019,"582,923173904419","640,4988765716553","805,8302402496338","62,58",Cluster 3
17,LC,118215,A,"2,0",0,,"3,60176","0,95343","0,15078",Amarela,PROVA AMARELA,,"0,0",2019,"597,2378253936768","614,5732402801514","667,6905155181885","57,54",Cluster 3
18,LC,118207,D,"11,0",0,,"1,28486","0,98541","0,11899",Amarela,PROVA AMARELA,,"0,0",2019,"606,9843769073486","654,6347141265869","803,0526638031006","55,95",Cluster 3
20,LC,68112,C,"18,0",0,,"1,88505","1,10658","0,25939",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2019,"605,6420803070068","641,6885852813721","744,5685863494873","62,97",Cluster 3
21,LC,85873,B,"16,0",0,,"1,97404","1,20231","0,22056",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2019,"618,6597347259521","651,9286632537842","749,6492862701416","61,03",Cluster 3
22,LC,83874,E,"24,0",0,,"1,72598","1,04219","0,25255",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2019,"599,419355392456","638,5366916656494","750,7889270782471","62,63",Cluster 3
