CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;CO_PROVA;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;TP_LINGUA;IN_ITEM_ADAPTADO;ANO;IN_ENCCEJA;IN_ENEM;OCRSearch;theta_065;theta_080;theta_099;PercentEspAcerto;imagAPI
27;LC;35869;A;H23;Linguagens Branco REGULAR;0;;0.31433;-0.2344;0.02624;Branco;;0;2020;1;0;N/A;476.5336513519287;906.9817066192627;1929.8927783966064;51.31;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/35869.png
23;LC;35961;D;H27;Linguagens Branco REGULAR;0;;1.8796;1.81573;0.19066;Branco;;0;2020;1;0;N/A;681.5640926361084;740.8444881439209;914.665937423706;59.53;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/35961.png
41;CH;36024;D;H11;Humanas Azul REGULAR;0;;0.88039;1.22976;0.14793;Azul;;0;2020;1;0;N/A;622.9941844940186;757.2166919708252;1126.5342235565186;57.4;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/36024.png
29;CN;38506;D;H29;Natureza Rosa REGULAR;0;;1.56943;2.68987;0.16617;Rosa;;0;2020;1;0;N/A;768.9921855926514;842.482328414917;1050.0686168670654;58.31;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/38506.png
37;CH;56401;C;H7;Humanas Azul REGULAR;0;;0.32616;1.31766;0.23781;Azul;;0;2020;1;0;N/A;631.758451461792;948.6429691314697;1956.3930034637451;61.89;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/56401.png
36;CH;56643;A;H6;Humanas Azul REGULAR;0;;0.56917;0.7506;0.23752;Azul;;0;2020;1;0;N/A;575.0958919525146;756.73508644104;1334.1991901397705;61.88;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/56643.png
20;CN;56700;A;H20;Natureza Rosa REGULAR;0;;0.82683;0.65031;0.05744;Rosa;;0;2020;1;0;N/A;565.0203227996826;723.6831188201904;1113.5523319244385;52.87;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/56700.png
35;CH;57187;D;H4;Humanas Azul REGULAR;0;;1.06454;1.08776;0.13528;Azul;;0;2020;1;0;N/A;608.7582111358643;721.5993404388428;1026.6273021697998;56.76;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/57187.png
2;CN;57264;B;H2;Natureza Rosa REGULAR;0;;0.7183;-0.44997;0.19637;Rosa;;0;2020;1;0;N/A;455.0139904022217;608.7892055511475;1063.9445781707764;59.82;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/57264.png
29;LC;57393;A;H29;Linguagens Branco REGULAR;0;;0.93145;1.10128;0.17057;Branco;;0;2020;1;0;N/A;610.1362705230713;733.2150936126709;1083.1563472747803;58.53;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/57393.png
44;CH;57810;A;H14;Humanas Azul REGULAR;0;;1.38359;2.85375;0.29417;Azul;;0;2020;1;0;N/A;785.3810787200928;852.4386882781982;1092.0064449310303;64.71;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/57810.png
