CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,theta_080,theta_099
15,LC,59976,C,"30,0",0,,"3,49523","0,62543","0,17905",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"567,5380229949951","581,6094875335693","636,5196704864502"
15,LC,87976,E,"3,0",0,,"1,1717","0,89862","0,25164",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"596,360445022583","640,4988765716553","805,8302402496338"
16,LC,23833,C,"20,0",0,,"3,34117","0,44968","0,20117",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"549,3466854095459","564,2764568328857","621,8688488006592"
16,LC,85630,C,"11,0",0,,"3,01058","0,26885","0,1495",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"533,8733196258545","549,9308109283447","613,4693622589111"
17,LC,97756,A,"17,0",0,,"1,12246","0,52192","0,21723",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"563,3156299591064","608,2384586334229","780,0214290618896"
17,LC,118215,A,"2,0",0,,"3,60176","0,95343","0,15078",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"601,1431217193604","614,5732402801514","667,6905155181885"
18,LC,98288,D,"16,0",0,,"2,46995","1,74995","0,18546",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"681,7381381988525","701,7295360565186","779,4897556304932"
18,LC,118207,D,"11,0",0,,"1,28486","0,98541","0,11899",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"617,6249980926514","654,6347141265869","803,0526638031006"
19,LC,29602,E,"10,0",0,,"1,90316","0,23748","0,19437",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"531,8992137908936","557,9941272735596","659,0192317962646"
19,LC,118165,C,"4,0",0,,"2,57957","0,47485","0,17883",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"554,2652606964111","573,3292102813721","647,7277278900146"
20,LC,68112,C,"18,0",0,,"1,88505","1,10658","0,25939",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"614,0844821929932","641,6885852813721","744,5685863494873"
20,LC,118103,E,"27,0",0,,"2,38734","2,25308","0,15051",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"734,0710163116455","754,3294429779053","834,4666957855225"
21,LC,85873,B,"16,0",0,,"1,97404","1,20231","0,22056",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"626,3272762298584","651,9286632537842","749,6492862701416"
21,LC,118192,B,"25,0",0,,"3,36624","2,31528","0,19736",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"736,0212802886963","750,8032321929932","807,9402446746826"
22,LC,83874,E,"24,0",0,,"1,72598","1,04219","0,25255",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"608,5507869720459","638,5366916656494","750,7889270782471"
22,LC,118170,D,"23,0",0,,"1,60663","0,41552","0,00227",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"564,0881061553955","592,2048091888428","709,7094058990479"
23,LC,61358,D,"28,0",0,,"3,78515","1,03649","0,15304",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"609,0967655181885","621,8926906585693","672,4493503570557"
23,LC,90165,B,"15,0",0,,"3,81799","0,97593","0,19228",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"601,7272472381592","614,7162914276123","665,0631427764893"
24,LC,61312,A,"12,0",0,,"1,80505","0,43952","0,18841",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"552,9706478118896","580,3768634796143","686,8188381195068"
24,LC,77356,B,"13,0",0,,"3,62272","0,75063","0,23761",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"577,7256488800049","591,8495655059814","645,2195644378662"
25,LC,81621,B,"23,0",0,,"1,90137","0,70873","0,20236",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"578,4862041473389","604,7384738922119","705,9590816497803"
25,LC,118276,C,"16,0",0,,"2,59876","0,75076","0,13733",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"583,7147235870361","602,1921634674072","675,708532333374"
26,LC,47604,D,"3,0",0,,"3,23405","-0,16548","0,19344",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"488,2853031158447","503,6323070526123","563,0772113800049"
26,LC,118299,D,"18,0",0,,"3,76828","1,13537","0,08402",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"621,0391521453857","633,44407081604","683,8839054107666"
